Year,Rank,"Pos
Rank",Draft_Rank,Player
2019,11,1,1.11,"Murray, Kyler (ARI, QB, Age: 22)® (R11)"
2019,12,5,1.12,"Arcega-Whiteside, JJ (PHI, WR)® (R12)"
2019,13,6,2.01,"Samuel, Deebo (SFO, WR, Age: 23)® (R13)"
2019,14,2,2.02,"Fant, Noah (DEN, TE, Age: 22)® (R14)"
2019,15,7,2.03,"Brown, Marquise (BAL, WR, Age: 22)® (R15)"
2019,16,6,2.04,"Hill, Justice (BAL, RB, Age: 22)® (R16)"
2019,17,7,2.05,"Singletary, Devin (BUF, RB, Age: 22)® (R17)"
2019,18,8,2.06,"Isabella, Andy (ARI, WR)® (R18)"
2019,19,9,2.07,"Hardman, Mecole (KCC, WR, Age: 21)® (R19)"
2019,20,8,2.08,"Mattison, Alexander (MIN, RB)® (R20)"
2019,21,10,2.09,"Boykin, Miles (BAL, WR)® (R21)"
2019,22,11,2.10,"McLaurin, Terry (WAS, WR, Age: 23)® (R22)"
2019,23,12,2.11,"Butler, Hakeem (ARI, WR, Age: 23)® (R23)"
2019,24,9,2.12,"Thompson, Darwin (KCC, RB)® (R24)"
2019,25,3,3.01,"Smith Jr., Irv (MIN, TE, Age: 21)® (R25)"
2019,26,13,3.02,"Johnson, Diontae (PIT, WR)® (R26)"
2019,27,14,3.03,"Johnson, KeeSean (ARI, WR, Age: 23)® (R27)"
2019,28,10,3.04,"Snell, Benny (PIT, RB, Age: 21)® (R28)"
2019,29,11,3.05,"Williams, Dexter (GBP, RB)® (R29)"
2019,30,12,3.06,"Pollard, Tony (DAL, RB)® (R30)"
2019,31,2,3.07,"Haskins, Dwayne (WAS, QB, Age: 22)® (R31)"
2019,32,13,3.08,"Love, Bryce (WAS, RB, Age: 22)® (R32)"
2019,33,14,3.09,"Armstead, Ryquell (JAC, RB)® (R33)"
2019,34,15,3.10,"Renfrow, Hunter (OAK, WR, Age: 23)® (R34)"
2019,35,4,3.11,"Sternberger, Jace (GBP, TE)® (R35)"
2019,36,16,3.12,"Williams, Preston (MIA, WR)® (R36)"
2019,37,5,4.01,"Knox, Dawson (BUF, TE, Age: 23)® (R37)"
2019,38,17,4.02,"Hurd, Jalen (SFO, WR, Age: 23)® (R38)"
2019,39,3,4.03,"Jones, Daniel (NYG, QB, Age: 22)® (R39)"
2019,40,15,4.04,"Anderson, Rodney (CIN, RB)® (R40)"
2019,41,16,4.05,"Anderson, Bruce (TBB, RB)® (R41)"
2019,42,17,4.06,"Crockett, Damarea (HOU, RB)® (R42)"
2019,43,18,4.07,"Ollison, Qadree (ATL, RB, Age: 23)® (R43)"
2019,44,19,4.08,"Weber, Mike (DAL, RB, Age: 22)® (R44)"
2019,45,18,4.09,"Harmon, Kelvin (WAS, WR, Age: 23)® (R45)"
2019,46,20,4.10,"Scarlett, Jordan (CAR, RB)® (R46)"
2019,47,19,4.11,"Jennings, Gary (SEA, WR)® (R47)"
2019,48,20,4.12,"Meyers, Jakobi (NEP, WR)® (R48)"
2019,49,21,5.01,"Holyfield, Elijah (CAR, RB)® (R49)"
2019,50,21,5.02,"Slayton, Darius (NYG, WR)® (R50)"
2019,51,22,5.03,"Johnson, Ty (DET, RB)® (R51)"
2019,52,6,5.04,"Oliver, Josh (JAC, TE)® (R52)"
2019,53,22,5.05,"Winfree, Juwann (DEN, WR, Age: 23)® (R53)"
2019,54,23,5.06,"Ridley, Riley (CHI, WR, Age: 23)® (R54)"
2019,55,23,5.07,"Williams, Trayveon (CIN, RB, Age: 22)® (R55)"
2019,56,7,5.08,"Warring, Kahale (HOU, TE, Age: 22)® (R56)"
2019,57,24,5.09,"Butler, Emmanuel (NOS, WR, Age: 23)® (R57)"
2019,58,25,5.10,"Morgan, Stanley (CIN, WR, Age: 22)® (R58)"
2019,59,4,5.11,"Grier, Will (CAR, QB, Age: 24)® (R59)"
2020,1,1,1.01,"Edwards-Helaire, Clyde (KCC, RB, Age: 21)® (R1)"
2020,2,2,1.02,"Taylor, Jonathan (IND, RB, Age: 21)® (R2)"
2020,3,3,1.03,"Dobbins, J.K. (BAL, RB, Age: 21)® (R3)"
2020,4,4,1.04,"Swift, D'Andre (DET, RB, Age: 21)® (R4)"
2020,5,5,1.05,"Akers, Cam (LAR, RB, Age: 21)® (R5)"
2020,6,1,1.06,"Lamb, CeeDee (DAL, WR, Age: 21)® (R6)"
2020,7,2,1.07,"Jeudy, Jerry (DEN, WR, Age: 21)® (R7)"
2020,8,3,1.08,"Reagor, Jalen (PHI, WR, Age: 21)® (R8)"
2020,9,4,1.09,"Jefferson, Justin (MIN, WR, Age: 21)® (R9)"
2020,10,5,1.10,"Ruggs, Henry (LVR, WR, Age: 21)® (R10)"
2020,11,6,1.11,"Aiyuk, Brandon (SFO, WR, Age: 22)® (R11)"
2020,12,6,1.12,"Vaughn, Ke'Shawn (TBB, RB, Age: 23)® (R12)"
2020,13,7,2.01,"Higgins, Tee (CIN, WR, Age: 21)® (R13)"
2020,14,8,2.02,"Pittman, Michael (IND, WR, Age: 23)® (R14)"
2020,15,9,2.03,"Mims, Denzel (NYJ, WR, Age: 23)® (R15)"
2020,16,7,2.04,"Dillon, AJ (GBP, RB, Age: 22)® (R16)"
2020,17,8,2.05,"Moss, Zack (BUF, RB, Age: 22)® (R17)"
2020,18,10,2.06,"Shenault, Laviska (JAC, WR, Age: 22)® (R18)"
2020,19,9,2.07,"Gibson, Antonio (WAS, RB)® (R19)"
2020,20,11,2.08,"Edwards, Bryan (LVR, WR, Age: 22)® (R20)"
2020,21,1,2.09,"Burrow, Joe (CIN, QB, Age: 23)® (R21)"
2020,22,2,2.01,"Tagovailoa, Tua (MIA, QB, Age: 22)® (R22)"
2020,23,10,2.11,"McFarland, Anthony (PIT, RB)® (R23)"
2020,24,12,2.12,"Claypool, Chase (PIT, WR, Age: 22)® (R24)"
2020,25,11,3.01,"Evans, Darrynton (TEN, RB, Age: 22)® (R25)"
2020,26,12,3.02,"Kelley, Joshua (LAC, RB, Age: 23)® (R26)"
2020,27,13,3.03,"Bowden, Lynn (LVR, RB, Age: 23)® (R27)"
2020,28,13,3.04,"Jefferson, Van (LAR, WR, Age: 24)® (R28)"
2020,29,14,3.05,"Hamler, KJ (DEN, WR, Age: 21)® (R29)"
2020,30,15,3.06,"Gandy-Golden, Antonio (WAS, WR, Age: 22)® (R30)"
2020,31,1,3.07,"Trautman, Adam (NOS, TE, Age: 23)® (R31)"
2020,32,16,3.08,"Duvernay, Devin (BAL, WR, Age: 23)® (R32)"
2020,33,2,3.09,"Asiasi, Devin (NEP, TE, Age: 23)® (R33)"
2020,34,14,3.10,"Perine, Lamical (NYJ, RB, Age: 22)® (R34)"
2020,35,15,3.11,"Dallas, DeeJay (SEA, RB, Age: 22)® (R35)"
2020,36,17,3.12,"Cephus, Quintez (DET, WR, Age: 22)® (R36)"
2020,37,16,4.01,"Benjamin, Eno (ARI, RB, Age: 20)® (R37)"
2020,38,18,4.02,"Johnson, Tyler (TBB, WR, Age: 22)® (R38)"
2020,39,3,4.03,"Kmet, Cole (CHI, TE, Age: 21)® (R39)"
2020,40,3,4.04,"Herbert, Justin (LAC, QB, Age: 22)® (R40)"
2020,41,4,4.05,"Love, Jordan (GBP, QB, Age: 22)® (R41)"
2020,42,19,4.06,"Peoples-Jones, Donovan (CLE, WR, Age: 21)® (R42)"
2021,1,1,1.01,"Harris, Najee (PIT, RB) (R1)"
2021,2,1,1.02,"Chase, Ja'Marr (CIN, WR) (R2)"
2021,3,1,1.03,"Pitts, Kyle (ATL, TE) (R3)"
2021,4,2,1.04,"Etienne, Travis (JAC, RB) (R4)"
2021,5,3,1.05,"Williams, Javonte (DEN, RB) (R5)"
2021,6,4,1.06,"Sermon, Trey (SFO, RB) (R6)"
2021,7,5,1.07,"Carter, Michael (NYJ, RB) (R7)"
2021,8,2,1.08,"Smith, DeVonta (PHI, WR) (R8)"
2021,9,3,1.09,"Moore, Elijah (NYJ, WR) (R9)"
2021,10,4,1.10,"Waddle, Jaylen (MIA, WR) (R10)"
2021,11,5,1.11,"Bateman, Rashod (BAL, WR) (R11)"
2021,12,1,1.12,"Lawrence, Trevor (JAC, QB) (R12)"
2021,13,6,2.01,"Marshall, Terrace (CAR, WR) (R13)"
2021,14,7,2.02,"Moore, Rondale (ARI, WR) (R14)"
2021,15,2,2.03,"Lance, Trey (SFO, QB) (R15)"
2021,16,3,2.04,"Fields, Justin (CHI, QB) (R16)"
2021,17,8,2.05,"Brown, Dyami (WAS, WR) (R17)"
2021,18,9,2.06,"Toney, Kadarius (NYG, WR) (R18)"
2021,19,10,2.07,"Rodgers, Amari (GBP, WR) (R19)"
2021,20,6,2.08,"Gainwell, Kenneth (PHI, RB) (R20)"
2021,21,2,2.09,"Freiermuth, Pat (PIT, TE) (R21)"
2021,22,11,2.10,"St. Brown, Amon-Ra (DET, WR) (R22)"
2021,23,7,2.11,"Hubbard, Chuba (CAR, RB) (R23)"
2021,24,12,2.12,"Palmer, Josh (LAC, WR) (R24)"
2021,25,13,3.01,"Collins, Nico (HOU, WR) (R25)"
2021,26,8,3.02,"Stevenson, Rhamondre (NEP, RB) (R26)"
2021,27,14,3.03,"Eskridge, D'Wayne (SEA, WR) (R27)"
2021,28,4,3.04,"Wilson, Zach (NYJ, QB) (R28)"
2021,29,3,3.05,"Long, Hunter (MIA, TE) (R29)"
2021,30,9,3.06,"Mitchell, Elijah (SFO, RB) (R30)"
2021,31,5,3.07,"Jones, Mac (NEP, QB) (R31)"
2021,32,10,3.08,"Hawkins, Javian (ATL, RB) (R32)"
2021,33,15,3.09,"Smith-Marsette, Ihmir (MIN, WR) (R33)"
2021,34,11,3.10,"Hill, Kylin (GBP, RB) (R34)"
2021,35,6,3.11,"Mond, Kellen (MIN, QB) (R35)"
2021,36,12,3.12,"Rountree, Larry (LAC, RB) (R36)"
2022,1,1,1.01,"Hall, Breece (NYJ, RB, Age: 21) (R1)"
2022,2,1,1.02,"London, Drake (ATL, WR, Age: 21) (R2)"
2022,3,2,1.03,"Walker III, Kenneth (SEA, RB, Age: 21) (R3)"
2022,4,2,1.04,"Burks, Treylon (TEN, WR, Age: 22) (R4)"
2022,5,3,1.05,"Wilson, Garrett (NYJ, WR, Age: 22) (R5)"
2022,6,4,1.06,"Olave, Chris (NOS, WR, Age: 22) (R6)"
2022,7,5,1.07,"Williams, Jameson (DET, WR, Age: 21) (R7)"
2022,8,6,1.08,"Moore, Skyy (KCC, WR, Age: 21) (R8)"
2022,9,7,1.09,"Pickens, George (PIT, WR, Age: 21) (R9)"
2022,10,3,1.10,"Cook, James (BUF, RB, Age: 22) (R10)"
2022,11,8,1.11,"Dotson, Jahan (WAS, WR, Age: 22) (R11)"
2022,12,9,1.12,"Watson, Christian (GBP, WR, Age: 23) (R12)"
2022,13,4,2.01,"Pierce, Dameon (HOU, RB, Age: 22) (R13)"
2022,14,5,2.02,"White, Rachaad (TBB, RB, Age: 23) (R14)"
2022,15,6,2.03,"Spiller, Isaiah (LAC, RB, Age: 21) (R15)"
2022,16,10,2.04,"Tolbert, Jalen (DAL, WR, Age: 23) (R16)"
2022,17,7,2.05,"Allgeier, Tyler (ATL, RB, Age: 22) (R17)"
2022,18,11,2.06,"Robinson, Wan'Dale (NYG, WR, Age: 21) (R18)"
2022,19,12,2.07,"Bell, David (CLE, WR, Age: 21) (R19)"
2022,20,13,2.08,"Pierce, Alec (IND, WR, Age: 22) (R20)"
2022,21,8,2.09,"Robinson, Brian (WAS, RB, Age: 23) (R21)"
2022,22,9,2.10,"White, Zamir (LVR, RB, Age: 22) (R22)"
2022,23,14,2.11,"Doubs, Romeo (GBP, WR, Age: 22) (R23)"
2022,24,1,2.12,"McBride, Trey (ARI, TE, Age: 22) (R24)"
2022,25,10,3.01,"Davis-Price, Tyrion (SFO, RB, Age: 21) (R25)"
2022,26,11,3.02,"Pacheco, Isaih (KCC, RB, Age: 23) (R26)"
2022,27,15,3.03,"Thornton, Tyquan (NEP, WR, Age: 22) (R27)"
2022,28,12,3.04,"Strong Jr., Pierre (NEP, RB, Age: 23) (R28)"
2022,29,16,3.05,"Shakir, Khalil (BUF, WR, Age: 22) (R29)"
2022,30,17,3.06,"Metchie, John (HOU, WR, Age: 22) (R30)"
2022,31,1,3.07,"Pickett, Kenny (PIT, QB, Age: 24) (R31)"
2022,32,2,3.08,"Willis, Malik (TEN, QB, Age: 23) (R32)"
2022,33,2,3.09,"Likely, Isaiah (BAL, TE, Age: 22) (R33)"
